state\AA	|	end	in_glob	out_glob	m1_in	m2_in	m3_in	m4_in	m5_in	m6_in	m7_in	m8_in	m9_in	m10_in	m11_in	m12_in	m13_in	m14_in	m15_in	m16_in	m17_in	m18_in	m19_in	m20_in	m21_in	m_end_in	m1_out	m2_out	m3_out	m4_out	m5_out	m6_out	m7_out	m8_out	m9_out	m10_out	m11_out	m12_out	m13_out	m14_out	m15_out	m16_out	m17_out	m18_out	m19_out	m20_out	m21_out	m_end_out							
start	0	0	0.549251	0.450749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
end	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
in_glob	0	0	0.986708	0	0.013292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
out_glob	0	0	0	0.979135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
m1_in	0	0	0	0	0	0.000534023	0.000567583	0.00064457	0.00159544	0.000669433	0.00161008	0.000762887	0.000789084	0.000868204	0.00519996	0.00774891	0.0108947	0.697722	0.0444777	0.0328707	0.111827	0.0324248	0.0448694	0.00212234	0.00107586	0.00072618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
m2_in	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
m3_in	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
m4_in	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
m5_in	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
m6_in	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
